Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
15001020100,4499,981,5,14,1157,581,542,45.1,80000,3,841,71,652,197,34,331,320,1644,1200,444,438,4,1309,115,216,1326,1322,1087,310,77,27,126,50,192,126,180,121,3767,0,34,365,333,30,413,3319,4346,1644,261,1,44.93,3,2,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US,0,0,1,1
15001020202,2302,826,27,1,494,288,324,42.4,62500,16,476,145,309,60,13,60,82,626,484,142,206,0,531,25,70,532,532,450,85,38,14,50,21,51,40,69,50,2011,0,26,185,80,0,125,1712,2161,626,157,0,10.81,3,2,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US,0,0,1,1
15001020300,4167,1163,42,0,505,683,697,39.3,33993,61,667,131,826,166,109,380,622,1799,691,1108,506,0,1536,67,196,1536,1536,1155,255,220,179,330,205,364,305,217,217,3857,0,75,117,118,7,335,2953,4064,1799,406,0,3380.41,4,3,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US -- Verizon,0,0,1,1
15001020400,3398,637,14,0,857,200,549,35.5,51370,6,730,82,601,99,67,273,616,1365,528,837,403,0,1181,84,100,1198,1198,859,159,140,134,240,223,152,90,122,97,3034,0,32,146,186,5,191,2475,3269,1365,333,0,3199.59,4,3,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US -- Verizon,0,0,1,1
15001020500,5552,906,185,16,1383,743,903,29.9,36458,45,751,129,485,278,58,1105,466,2059,589,1470,556,96,1608,138,217,1720,1624,1258,271,380,380,318,222,321,187,143,98,4768,31,73,168,512,10,449,3185,5281,2059,527,0,2522.84,4,3,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US -- Verizon,0,0,1,1
15001020600,6802,650,27,4,1216,2186,536,43.8,76982,17,1582,107,588,284,111,369,407,2147,1654,493,658,0,1714,180,253,1781,1781,1403,307,99,75,137,93,178,130,253,191,6182,16,53,326,225,0,463,4706,6492,2147,446,0,348.62,5,3,altafiber Extended Territories -- Sandwich Isles Communications -- Charter Communications Inc -- T-Mobile US -- Verizon,0,0,1,1
15001020701,5246,545,24,3,2714,432,500,44.6,68372,44,963,138,862,253,33,502,557,1826,1244,582,432,0,1545,160,121,1553,1553,1368,218,72,26,107,79,342,298,158,147,4575,0,93,434,144,0,420,3821,4923,1826,432,0,2706.73,4,3,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US -- Verizon,0,0,1,1
15001020702,4828,347,18,0,2271,256,659,44.7,100000,23,774,65,807,280,66,142,122,1786,1438,348,486,26,1604,57,99,1630,1604,1488,117,70,60,68,52,51,5,83,43,4269,0,46,336,177,21,519,3598,4679,1786,395,0,3807.72,4,3,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US -- Verizon,0,0,1,1
15001020801,5274,897,0,0,2102,366,579,39.5,118417,14,964,20,908,338,117,109,308,1655,1401,254,492,0,1501,76,78,1521,1521,1388,89,82,82,22,14,167,159,99,91,4696,0,30,312,236,7,279,3683,4908,1655,354,0,422.67,4,3,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US -- Verizon,0,0,1,1
15001020802,7010,2159,0,0,1702,594,715,48.3,98931,1,993,79,1123,461,396,253,130,2372,1837,535,643,0,2095,88,189,2111,2111,1775,201,57,57,58,17,212,212,158,127,6606,0,71,151,182,28,207,5367,6781,2372,568,0,1749.41,4,3,Charter Communications Inc -- altafiber Extended Territories -- T-Mobile US -- Verizon,0,0,1,1
