Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
26001000100,1698,1594,8,0,0,0,36,64.7,62348,7,408,30,274,194,18,32,83,858,826,32,79,2,795,36,25,797,795,557,50,14,8,70,59,96,85,139,133,1652,0,26,20,0,0,3,1500,1653,858,202,1,32.03,5,2,Charter Communications Inc -- Everstream -- Peninsula Fiber Network -- ACD.net -- Verizon,0,0,1,1
26001970100,2406,2282,9,11,20,0,65,59.6,51031,25,604,108,249,159,37,104,285,1079,960,119,181,4,852,109,114,861,857,486,193,39,18,96,50,243,164,145,125,2354,0,11,29,12,11,11,1973,2328,1079,202,1,31.26,6,3,Charter Communications Inc -- Everstream -- Peninsula Fiber Network -- ACD.net -- Verizon -- T-Mobile US,0,0,1,1
26001970400,2789,2662,20,26,0,2,31,56.1,48922,6,799,199,217,78,6,163,179,1272,1124,148,257,13,940,170,149,969,956,382,265,86,54,143,74,197,141,232,157,2770,0,3,0,16,12,8,2200,2671,1272,196,1,16.82,8,5,Charter Communications Inc -- Allband Communications Cooperative -- Peninsula Fiber Network -- T-Mobile US -- ACD.net -- Verizon -- Everstream -- FRONTIER,0,0,1,1
26001970500,2057,1931,3,1,12,0,41,57.7,39620,20,559,115,162,75,0,240,278,1023,894,129,157,18,719,153,133,743,725,388,258,100,53,132,83,242,146,153,109,1999,8,18,19,13,9,0,1690,1968,1023,165,1,5.46,7,5,Point Broadband Fiber Holding LLC -- Charter Communications Inc -- Allband Communications Cooperative -- Peninsula Fiber Network -- Verizon -- FRONTIER -- Brightspeed,0,0,1,1
26001970600,1288,1222,4,2,0,0,16,54.9,59022,0,330,109,139,34,9,130,110,600,529,71,105,0,485,38,77,496,496,337,90,42,35,100,64,46,34,84,69,1220,2,18,40,8,0,0,1077,1273,600,164,1,47.73,8,5,Verizon -- Charter Communications Inc -- Allband Communications Cooperative -- Everstream -- T-Mobile US -- Peninsula Fiber Network -- ACD.net -- FRONTIER,0,0,1,1
26001990000,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1
26003000100,3473,3036,2,222,2,0,41,53.8,52804,22,1042,139,315,113,18,131,216,1500,1082,418,240,3,1231,134,132,1238,1235,1043,187,70,37,157,81,292,202,179,173,3454,0,8,9,2,0,0,2654,3388,1500,164,1,9.28,2,1,Charter Communications Inc -- Jamadots Internet,0,0,1,1
26003000200,2203,1947,18,43,2,0,106,48.9,58839,0,505,38,417,138,11,127,135,928,791,137,220,20,786,43,79,811,791,680,93,44,33,85,64,122,83,140,116,2162,3,4,3,31,1,0,1678,2104,928,120,1,10.7,5,2,Charter Communications Inc -- TDS Telecom -- Peninsula Fiber Network -- Jamadots Internet -- Board of Trustees Northern Michigan University,0,0,1,1
26003000300,3190,2341,671,18,66,0,28,38.3,56875,37,558,518,233,72,5,74,118,846,810,36,212,0,693,77,76,693,693,555,110,37,14,74,46,131,92,87,84,3081,0,10,73,26,2,9,2230,3058,846,114,1,9.61,4,2,Charter Communications Inc -- TDS Telecom -- Jamadots Internet -- Board of Trustees Northern Michigan University,0,0,1,1
26003990000,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1
26005030200,3506,3379,48,0,34,0,109,46.8,95714,0,527,91,727,419,22,0,39,1330,1276,54,395,0,1166,32,132,1212,1212,864,88,0,0,0,0,103,17,80,80,3381,0,0,64,61,60,0,2503,3197,1330,203,1,298.24,5,5,Xfinity -- Charter Communications Inc -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
26005030301,3103,2995,20,0,10,0,54,33.6,95938,0,694,48,349,113,34,37,56,966,884,82,383,4,881,49,32,885,881,574,75,19,4,21,21,54,54,119,100,3070,0,5,24,4,0,5,1915,2911,966,106,0,85.74,12,6,Xfinity -- Michwave Technologies Inc. -- Verizon -- Charter Communications Inc -- Surf Internet -- ACENTEK -- T-Mobile US -- Peninsula Fiber Network -- ACD.net -- Everstream -- FRONTIER -- AT&T Inc,0,0,1,1
26005030302,5104,4925,1,0,0,0,26,38.8,89234,25,1593,160,526,166,27,77,29,1879,1787,92,663,26,1659,33,161,1685,1659,874,186,25,25,122,28,104,79,261,253,5090,0,0,1,13,34,0,3601,4816,1879,161,0,144.22,8,4,Michwave Technologies Inc. -- Charter Communications Inc -- Surf Internet -- ACENTEK -- T-Mobile US -- Verizon -- AT&T Inc -- Truestream,0,0,1,1
26005030402,6786,6333,42,22,94,0,176,36.7,86788,38,1427,124,945,369,50,95,37,2439,2165,274,1117,0,2316,66,57,2316,2316,1403,102,13,0,62,62,111,77,222,222,6615,0,111,28,32,21,8,4344,6329,2439,293,1,195.61,10,4,BCTC -- Michwave Technologies Inc. -- Charter Communications Inc -- Surf Internet -- T-Mobile US -- Everstream -- Peninsula Fiber Network -- Verizon -- AT&T Inc -- Truestream,0,0,1,1
26005030403,4658,4547,0,0,0,0,49,32.0,90961,0,976,64,328,88,0,153,262,1523,1491,32,688,0,1453,26,44,1459,1459,765,50,50,50,25,13,149,137,116,102,4603,0,40,15,0,0,0,2647,4385,1523,144,0,238.1,10,5,Xfinity -- Michwave Technologies Inc. -- Charter Communications Inc -- Surf Internet -- T-Mobile US -- Everstream -- Peninsula Fiber Network -- Verizon -- AT&T Inc -- Truestream,0,0,1,1
