Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
04001942600,1549,0,0,1507,0,0,58,35.0,24313,13,404,36,47,11,0,348,209,429,407,22,105,0,14,78,337,17,17,8,402,99,8,84,0,110,0,53,3,1549,0,0,0,0,0,356,1040,1477,429,587,1,2.95,1,1,ALASKA COMMUNICATIONS,0,1,1,1
04001942700,5308,77,5,5055,67,16,26,34.6,36297,72,1048,165,143,114,5,992,716,1439,1093,346,476,0,416,360,663,433,433,252,981,237,40,236,36,219,19,209,55,5245,0,3,6,54,8,1092,3356,4973,1439,1255,1,4.77,2,2,ALASKA COMMUNICATIONS -- Smith Bagley Inc,0,1,1,1
04001944000,5814,94,38,5399,47,3,136,34.5,45149,33,1161,50,291,92,32,1004,683,1556,1115,441,467,0,639,207,710,653,653,232,839,266,18,174,22,226,80,239,104,5772,4,0,28,10,0,205,3707,5563,1556,1318,1,19.52,3,3,FRONTIER -- ALASKA COMMUNICATIONS -- Smith Bagley Inc,0,1,1,1
04001944100,6100,217,109,5668,8,0,132,25.7,24375,83,923,70,184,89,12,1635,930,1446,1153,293,644,0,460,314,672,480,480,310,909,415,61,242,50,226,94,132,56,6006,0,0,6,88,8,713,3108,5721,1446,1560,1,8.44,2,2,ALASKA COMMUNICATIONS -- Smith Bagley Inc,0,1,1,1
04001944201,4187,168,13,3599,105,0,67,30.7,33898,37,684,34,120,154,19,1067,714,1154,658,496,464,0,303,373,478,319,319,304,741,272,0,89,27,242,47,146,15,4031,0,0,20,136,23,914,2366,3734,1154,1072,1,21.59,2,2,ALASKA COMMUNICATIONS -- Smith Bagley Inc,0,1,1,1
04001944202,3302,14,29,3213,0,0,68,36.8,26917,3,873,176,146,38,0,548,616,1111,973,138,318,0,237,330,544,237,237,223,844,193,0,162,0,244,58,132,43,3302,0,0,0,0,0,1136,2259,3174,1111,1142,1,17.02,2,2,FRONTIER -- ALASKA COMMUNICATIONS,0,1,1,1
04001944301,2870,28,0,2806,15,0,54,36.6,24365,39,592,18,87,94,0,856,416,1061,867,194,228,0,166,296,599,173,173,118,870,272,42,202,25,200,21,114,7,2855,0,0,0,15,0,1340,1912,2746,1061,1157,0,5.52,2,2,ALASKA COMMUNICATIONS -- Smith Bagley Inc,0,1,1,1
04001944302,2552,0,7,2545,0,0,0,31.6,25977,40,483,42,49,51,10,512,445,819,704,115,252,0,209,173,437,218,218,96,583,189,23,104,17,208,59,91,29,2552,0,0,0,0,0,492,1443,2348,819,738,0,4.96,1,1,ALASKA COMMUNICATIONS,0,1,1,1
04001944901,3645,35,2,3512,55,0,36,30.4,24872,62,548,41,141,90,4,860,599,988,836,152,383,4,444,220,320,462,458,294,499,220,66,160,60,204,66,110,44,3605,0,0,4,36,28,409,2107,3458,988,1037,1,6.27,3,3,FRONTIER -- ALASKA COMMUNICATIONS -- Smith Bagley Inc,0,1,1,1
04001944902,4657,27,15,4542,0,19,149,35.8,23925,83,1034,87,174,50,0,1257,694,1313,1206,107,378,6,402,287,618,487,481,177,815,358,79,208,42,253,119,156,52,4657,0,0,0,0,0,734,3086,4403,1313,1505,1,4.42,2,2,FRONTIER -- ALASKA COMMUNICATIONS,0,1,1,1
04001945001,3419,107,3,3135,44,0,153,34.8,39000,75,700,9,340,129,0,604,310,1118,660,458,348,0,683,184,251,692,692,609,390,178,79,125,32,204,116,148,119,3379,0,0,10,30,29,70,2247,3198,1118,700,1,86.36,3,3,FRONTIER -- ALASKA COMMUNICATIONS -- Smith Bagley Inc,0,1,1,1
04001945002,3514,38,4,3390,0,19,60,38.0,24479,49,928,57,102,49,2,597,671,1046,1008,38,322,0,332,194,520,352,352,232,686,251,44,179,33,203,41,135,77,3488,16,0,0,10,5,217,2430,3372,1046,806,1,8.42,2,1,ALASKA COMMUNICATIONS -- Table Top Telephone,0,1,1,1
04001945100,2774,67,6,2612,4,0,91,30.1,31000,17,677,20,61,40,0,575,491,702,461,241,368,4,365,169,164,384,380,138,284,90,24,82,38,214,157,92,34,2770,0,0,0,4,0,179,1712,2581,702,534,1,4.19,2,1,Table Top Telephone -- ALASKA COMMUNICATIONS,0,1,1,1
04001970201,2361,2000,48,48,17,0,456,46.1,59063,0,213,42,229,230,0,99,65,796,752,44,229,0,649,130,17,659,659,296,92,17,10,42,42,103,94,96,96,2234,0,15,112,0,0,39,1696,2266,796,130,0,3.63,3,3,Triad Wireless LLC -- FRONTIER -- Verizon,1,0,1,1
04001970202,1505,1363,21,2,12,0,119,62.1,29344,50,242,0,50,206,26,130,386,786,741,45,92,0,487,69,230,487,487,183,299,99,67,147,76,219,49,82,63,1389,0,97,7,12,0,0,1252,1431,786,278,0,1.46,0,0,0,1,0,0,0
04001970300,3326,2227,280,257,0,0,1326,33.8,57824,64,489,232,253,53,0,130,172,807,596,211,273,0,532,131,144,532,532,344,275,107,0,65,29,82,39,97,77,3120,0,39,91,76,185,0,2053,3184,807,138,1,6.68,3,3,Triad Wireless LLC -- FRONTIER -- Verizon,0,0,1,1
04001970501,4475,3771,5,93,0,0,920,40.2,67896,18,482,210,493,200,39,464,359,1601,1185,416,486,10,1471,74,46,1492,1482,1007,81,109,90,120,87,195,183,218,177,4363,0,11,28,73,8,2,3098,4079,1601,134,1,787.98,0,0,0,0,0,0,0
04001970502,4696,3323,0,793,0,14,783,47.8,68909,39,840,92,565,231,30,181,723,1614,1423,191,433,0,1256,172,186,1313,1313,994,261,69,48,103,42,288,201,136,76,4501,0,26,157,12,10,20,3348,4255,1614,209,1,2.63,0,0,0,0,0,0,0
04003000101,1241,862,4,11,0,0,713,38.0,44427,6,145,46,64,59,0,70,220,473,348,125,149,6,290,135,42,296,290,230,174,41,14,59,43,88,51,104,61,1067,0,0,95,79,181,12,838,1119,473,57,0,1.34,3,2,CenturyLink -- Valley Telecom Group -- Verizon,0,0,1,1
04003000102,651,589,2,0,0,0,61,58.0,31536,12,103,37,63,24,9,25,102,325,249,76,63,0,260,16,49,260,260,141,61,22,10,82,41,82,76,26,25,611,0,0,33,7,2,0,515,628,325,47,0,1.5,3,2,CenturyLink -- Valley Telecom Group -- Verizon,0,0,1,1
04003000201,3524,2690,0,28,19,0,1521,38.3,70063,16,1014,83,298,80,0,26,59,1171,1078,93,396,0,994,120,57,994,994,675,177,26,26,20,20,70,42,252,183,3219,0,4,102,199,145,0,2410,3325,1171,131,1,9.61,4,3,CenturyLink -- T-Mobile US -- Valley Telecom Group -- Verizon,0,0,1,1
04003000202,3393,2309,32,116,37,0,1831,31.5,37200,39,687,166,136,47,41,447,181,1250,592,658,310,0,821,218,211,830,830,618,373,174,92,188,97,241,127,185,148,3029,0,10,75,279,325,8,2275,3173,1250,155,1,64.68,3,3,T-Mobile US -- Valley Telecom Group -- Verizon,0,0,1,1
04003000203,2683,2305,0,0,7,0,529,57.3,54575,47,449,94,455,229,18,53,287,1307,1029,278,219,12,1153,53,89,1170,1158,869,124,156,138,99,65,191,142,130,117,2399,0,12,136,136,235,6,2150,2620,1307,122,1,7.3,3,2,CenturyLink -- Valley Telecom Group -- Verizon,0,0,1,1
04003000301,4126,3506,10,32,33,0,1061,50.4,42150,41,970,311,379,62,0,288,247,1875,1085,790,382,0,1597,141,137,1597,1597,1224,242,94,61,234,179,495,440,256,204,3928,0,62,89,47,84,0,3027,3966,1875,378,1,551.51,3,2,Integrated Elements Ultd. -- Cox Communications -- Verizon,0,0,1,1
04003000303,3219,2961,2,0,0,0,334,58.6,50583,0,618,211,287,206,39,176,231,1370,1229,141,214,0,1182,136,52,1198,1198,764,142,81,26,77,60,266,176,254,254,3105,0,43,13,58,0,3,2581,3074,1370,233,1,4.99,5,3,Integrated Elements Ultd. -- Midvale Telephone Company -- Cox Communications -- Verizon -- Bluespan,0,0,1,1
04003000304,2258,1999,0,94,18,0,217,43.5,63074,0,207,100,391,195,0,155,54,856,755,101,221,0,849,7,0,849,849,506,7,61,61,56,56,113,106,64,64,2170,0,39,43,6,6,0,1471,2110,856,164,0,13.55,5,3,Integrated Elements Ultd. -- Bluespan -- Cox Communications -- Verizon -- CenturyLink,0,0,1,1
04003000305,2304,1746,0,0,17,0,456,53.5,64917,0,348,3,431,69,29,28,114,944,820,124,198,0,785,119,40,803,803,547,66,12,12,102,102,61,58,99,36,2187,0,21,62,34,0,17,1759,2136,944,187,0,18.81,5,2,Integrated Elements Ultd. -- Midvale Telephone Company -- Cox Communications -- Verizon -- CenturyLink,0,0,1,1
04003000400,1888,1764,0,10,6,0,183,60.7,54083,11,467,27,176,91,18,47,98,886,674,212,138,0,738,89,59,738,738,495,114,67,42,60,32,176,127,97,77,1796,0,2,71,19,0,0,1559,1816,886,120,1,4.89,5,2,Valley Telecom Group -- Integrated Elements Ultd. -- Midvale Telephone Company -- Verizon -- CenturyLink,0,0,1,1
04003000501,1729,1416,26,57,0,0,331,50.0,43664,16,255,63,234,49,26,68,146,741,617,124,128,3,582,67,89,585,582,518,154,58,23,98,58,121,86,130,115,1559,0,34,104,32,78,3,1188,1667,741,134,0,1.99,4,3,CenturyLink -- T-Mobile US -- Valley Telecom Group -- Verizon,0,0,1,1
04003000502,866,748,11,30,3,0,100,61.3,45625,33,64,33,109,18,26,65,127,448,354,94,67,2,380,31,35,382,380,183,66,56,25,58,54,63,48,74,74,804,0,12,26,24,19,9,706,851,448,86,0,6.23,4,3,CenturyLink -- T-Mobile US -- Valley Telecom Group -- Verizon,0,0,1,1
