Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
33001965100,3424,3352,11,0,0,0,22,54.4,82115,46,752,54,651,277,42,93,196,1362,1154,208,225,3,1204,48,107,1216,1213,1108,111,47,47,39,27,106,60,204,181,3347,0,6,21,50,0,6,2917,3347,1362,64,1,67.9,6,4,Consolidated Communications -- Breezeline -- Charter Communications Inc -- T-Mobile US -- Netafy -- FirstLight Fiber,0,0,1,1
33001965200,3547,3469,0,22,0,0,44,52.6,59336,0,689,107,553,399,69,252,232,1713,1263,450,313,0,1438,51,224,1498,1498,1372,131,106,32,135,135,227,195,298,246,3319,0,97,80,51,0,0,2634,3468,1713,84,1,243.66,7,5,Consolidated Communications -- Breezeline -- Charter Communications Inc -- T-Mobile US -- Verizon -- Netafy -- FirstLight Fiber,0,0,1,1
33001965300,3141,2914,28,0,111,0,20,58.7,75268,15,527,65,672,368,65,87,158,1529,1238,291,248,0,1297,168,64,1297,1297,1155,79,25,8,107,73,304,190,158,158,2929,10,0,145,57,5,1,2609,3112,1529,67,1,125.07,7,5,Xfinity -- Consolidated Communications -- Breezeline -- T-Mobile US -- Verizon -- Netafy -- FirstLight Fiber,0,0,1,1
33001965400,3047,2889,42,0,29,0,13,45.8,81645,10,422,93,539,265,36,90,142,1125,838,287,287,0,977,85,63,977,977,835,93,42,21,111,72,61,26,46,40,2914,0,0,102,31,36,2,2363,2949,1125,37,1,64.09,6,5,Xfinity -- Consolidated Communications -- Breezeline -- T-Mobile US -- Verizon -- FirstLight Fiber,0,0,1,1
33001965598,3970,3824,26,0,4,0,23,47.2,64577,17,880,144,525,374,6,186,78,1598,1055,543,391,21,1402,62,113,1442,1421,1204,129,62,46,74,30,270,193,208,201,3804,0,65,61,40,0,48,3167,3732,1598,164,1,352.54,6,5,Xfinity -- Consolidated Communications -- Breezeline -- T-Mobile US -- Verizon -- FirstLight Fiber,0,0,1,1
33001965600,3960,3895,34,0,5,0,94,45.0,104875,23,634,45,595,439,49,150,188,1575,1471,104,456,0,1412,89,74,1412,1412,1358,159,32,22,49,49,116,85,79,51,3765,0,16,117,62,0,41,2951,3693,1575,64,1,67.86,5,5,Consolidated Communications -- Breezeline -- TDS Telecom -- T-Mobile US -- Verizon,0,0,1,1
33001965700,4941,4621,0,131,26,0,83,44.2,89303,0,1112,163,538,347,6,68,99,1840,1600,240,497,0,1722,73,45,1722,1722,1508,93,16,9,35,22,246,225,159,159,4805,0,24,64,48,0,21,3494,4763,1840,86,1,113.84,6,5,Consolidated Communications -- Breezeline -- TDS Telecom -- T-Mobile US -- Verizon -- FirstLight Fiber,0,0,1,1
33001965801,3426,3288,0,0,0,0,132,52.5,100212,0,941,176,383,154,40,245,113,1282,1155,127,374,0,1205,62,15,1220,1220,1177,0,64,64,69,69,26,26,222,213,3381,0,0,24,21,0,0,2642,3342,1282,112,0,246.01,6,5,Xfinity -- Consolidated Communications -- Breezeline -- T-Mobile US -- Verizon -- FirstLight Fiber,0,0,1,1
33001965802,3932,3685,111,0,80,0,111,44.3,53663,51,663,259,409,72,18,303,308,1658,1299,359,415,0,1283,138,237,1304,1304,1208,297,129,70,228,146,268,84,115,103,3796,0,18,52,66,0,0,2764,3792,1658,113,0,243.05,6,5,Xfinity -- Consolidated Communications -- Breezeline -- T-Mobile US -- Verizon -- FirstLight Fiber,0,0,1,1
33001965900,4375,4082,1,6,37,0,97,44.3,46083,45,805,181,396,172,0,149,571,1875,1016,859,442,16,1506,159,194,1528,1512,1351,311,101,26,238,138,368,228,347,343,4319,0,0,37,19,1,41,3186,4096,1875,167,1,2633.73,6,5,Xfinity -- Consolidated Communications -- Breezeline -- T-Mobile US -- Verizon -- FirstLight Fiber,0,0,1,1
