Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
47001020100,3179,2340,582,0,0,47,124,31.8,40739,11,281,115,284,179,9,282,243,1531,410,1121,421,0,1356,70,105,1397,1397,875,95,156,113,115,93,187,129,468,464,3107,0,1,17,54,9,38,2006,2738,1531,160,0,645.47,5,5,Xfinity -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
47001020201,4720,3935,97,23,411,0,120,43.7,103906,17,431,197,861,638,96,84,198,2029,1269,760,479,10,1966,47,6,1976,1966,1731,25,93,93,54,48,98,98,229,206,4114,9,51,365,181,8,79,3476,4600,2029,179,0,453.39,6,5,Xfinity -- TDS Telecom -- T-Mobile US -- Iris Networks -- Verizon -- AT&T Inc,0,0,1,1
47001020202,4522,3759,137,0,186,0,307,46.1,68536,32,455,150,527,313,106,406,559,1951,1159,792,664,0,1709,79,163,1727,1727,1529,170,235,235,166,40,162,136,213,213,3960,0,85,179,298,97,149,3286,4406,1951,187,0,1301.44,6,5,Xfinity -- TDS Telecom -- T-Mobile US -- Iris Networks -- Verizon -- AT&T Inc,0,0,1,1
47001020300,4242,3496,154,29,0,0,463,37.0,67610,0,590,254,420,256,54,78,318,1567,1095,472,651,0,1471,64,32,1471,1471,1246,92,25,25,151,121,179,148,173,169,3828,10,73,227,104,274,0,2747,4052,1567,164,0,2115.23,5,5,Xfinity -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
47001020400,4432,3774,39,43,79,0,259,36.4,62941,110,705,146,450,256,46,450,630,1812,1183,629,606,19,1646,30,117,1671,1652,1180,141,104,44,147,129,121,112,268,254,4115,0,0,144,173,87,30,2857,4268,1812,196,0,1084.46,6,5,Xfinity -- TDS Telecom -- T-Mobile US -- Iris Networks -- Verizon -- AT&T Inc,0,0,1,1
47001020500,4088,3122,561,7,41,0,154,34.9,55031,5,545,153,445,117,46,486,488,1615,887,728,562,0,1493,53,69,1498,1498,1111,96,133,84,233,210,144,117,200,191,3998,0,38,52,0,24,39,2654,3870,1615,158,0,2079.84,5,5,Xfinity -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
47001020600,2434,1990,206,0,23,0,239,41.1,85833,5,280,50,474,259,24,58,99,926,836,90,292,0,899,9,18,902,902,838,15,13,13,27,27,120,113,91,91,2342,0,0,58,34,0,4,1691,2291,926,91,0,1619.77,5,5,Xfinity -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
47001020700,1508,1508,0,0,0,0,21,44.5,49286,0,501,95,100,6,0,88,456,586,511,75,165,0,385,100,101,423,423,301,136,22,17,116,75,81,55,76,72,1498,0,0,5,5,0,0,1106,1457,586,125,1,17.79,4,3,Xfinity -- Highland Telephone Cooperative -- T-Mobile US -- Verizon,0,0,1,1
47001020800,4453,4159,42,0,58,0,130,43.2,46303,56,1173,168,291,143,34,502,639,1945,1317,628,429,6,1597,208,134,1633,1627,1267,279,157,137,296,120,267,162,275,266,4409,0,0,0,44,0,0,3295,4204,1945,443,1,329.54,5,5,Xfinity -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
47001020901,5995,5523,2,4,8,0,153,44.7,74737,15,1003,178,814,492,79,225,140,2470,2095,375,622,0,2178,168,124,2178,2178,1540,160,76,76,86,31,339,206,390,342,5877,0,27,12,79,53,0,4566,5609,2470,222,1,131.15,5,5,Xfinity -- TDS Telecom -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
