puma12,puma22,stab,PUMA12name,PUMA22name,pop20,afact,AFACT2
0101800,0101502,AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,45014,0.3424,0.3447
0101800,0102000,AL,"Chilton, Tallapoosa, Chambers & Coosa Counties","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",86470,0.6576,0.7431
0101900,0102101,AL,Lee County--Auburn City,Lee County (West)--Auburn & Opelika Cities,127904,0.7341,1
0101900,0102201,AL,Lee County--Auburn City,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,46337,0.2659,0.4391
0102000,0101801,AL,Montgomery City & Pike Road Town (North),Montgomery City (West),102562,0.5219,0.9374
0102000,0101802,AL,Montgomery City & Pike Road Town (North),Montgomery City (East) & Pike Road Town (Northwest),93949,0.4781,0.8908
0102100,0101700,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties","Autauga, Dallas, Lowndes & Perry Counties",69116,0.3647,0.5954
0102100,0101801,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",Montgomery City (West),6847,0.0361,0.0626
0102100,0101802,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",Montgomery City (East) & Pike Road Town (Northwest),11522,0.0608,0.1092
0102100,0101901,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",Elmore & Montgomery (South & Far East) Counties,102051,0.5384,1
0102200,0102600,AL,Southwest Alabama,Southwest Alabama,129866,1,1
0102300,0102400,AL,"Coffee, Covington, Butler & Crenshaw Counties",Coffee & Dale Counties,53465,0.4337,0.5209
0102300,0102500,AL,"Coffee, Covington, Butler & Crenshaw Counties","Covington, Pike, Barbour, Butler & Crenshaw Counties",69815,0.5663,0.5452
0102400,0102000,AL,"Russell, Pike, Barbour, Macon & Bullock Counties","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",29889,0.2029,0.2569
0102400,0102201,AL,"Russell, Pike, Barbour, Macon & Bullock Counties",Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,59183,0.4018,0.5609
0102400,0102500,AL,"Russell, Pike, Barbour, Macon & Bullock Counties","Covington, Pike, Barbour, Butler & Crenshaw Counties",58232,0.3953,0.4548
0102500,0102300,AL,"Houston, Dale, Geneva & Henry Counties--Dothan City","Houston, Geneva & Henry Counties--Dothan City",151162,0.7546,1
0102500,0102400,AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",Coffee & Dale Counties,49171,0.2454,0.4791
0102600,0102701,AL,Baldwin County,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",118618,0.5118,1
0102600,0102702,AL,Baldwin County,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",113149,0.4882,1
0102701,0102803,AL,Mobile City (East),Mobile City (East),99024,1,0.6788
0102702,0102802,AL,Mobile City (West),Mobile City (West) & Tillmans Corner CDP,63798,0.5767,0.4915
0102702,0102803,AL,Mobile City (West),Mobile City (East),46833,0.4233,0.321
0102703,0102801,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",Mobile County (Outer)--Prichard & Saraland Cities,139133,0.6782,1
0102703,0102802,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",Mobile City (West) & Tillmans Corner CDP,65999,0.3217,0.5085
0102703,0102803,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",Mobile City (East),22,0.0001,0.0002
0200101,0200101,AK,Anchorage Municipality (North),Anchorage Municipality (North),131871,0.993,0.9991
0200101,0200102,AK,Anchorage Municipality (North),Anchorage Municipality (South),763,0.0057,0.0048
0200101,0200200,AK,Anchorage Municipality (North),Matanuska-Susitna & Kenai Peninsula Boroughs,166,0.0012,0.001
0200102,0200101,AK,Anchorage Municipality (South),Anchorage Municipality (North),62,0.0004,0.0005
0200102,0200102,AK,Anchorage Municipality (South),Anchorage Municipality (South),158495,0.9996,0.9952
0200102,0200200,AK,Anchorage Municipality (South),Matanuska-Susitna & Kenai Peninsula Boroughs,1,0,0
0200200,0200101,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,Anchorage Municipality (North),56,0.0003,0.0004
0200200,0200200,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,Matanuska-Susitna & Kenai Peninsula Boroughs,165713,0.9995,0.999
0200200,0200300,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",22,0.0001,0.0001
0200300,0200300,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",163215,0.9996,0.9993
0200300,0200400,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",Subsistence Alaska,64,0.0004,0.0006
0200400,0200300,AK,Subsistence Alaska,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",87,0.0008,0.0005
0200400,0200400,AK,Subsistence Alaska,Subsistence Alaska,112876,0.9992,0.9994
0400100,0400105,AZ,Maricopa County--Gilbert (South) & Queen Creek Towns,Maricopa County--Gilbert Town (North),13183,0.0735,0.0794
0400100,0400135,AZ,Maricopa County--Gilbert (South) & Queen Creek Towns,Maricopa County--Gilbert (South) & Queen Creek Towns,166157,0.9265,0.9987
0400101,0400101,AZ,Maricopa County--Mesa City (East),Maricopa County--Mesa City (East),185881,0.9988,1
0400101,0400135,AZ,Maricopa County--Mesa City (East),Maricopa County--Gilbert (South) & Queen Creek Towns,214,0.0011,0.0013
0400102,0400102,AZ,Maricopa County--Mesa City (North Central),Maricopa County--Mesa City (North Central),144044,0.9998,1
0400102,0400111,AZ,Maricopa County--Mesa City (North Central),Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,22,0.0002,0.0002
0400103,0400103,AZ,Maricopa County--Mesa City (West),Maricopa County--Mesa City (West),114776,1,0.9489
0400104,0400104,AZ,Maricopa County--Mesa City (South Central),Maricopa County--Mesa City (South Central),106653,1,1
0400105,0400105,AZ,Maricopa County--Gilbert Town (North),Maricopa County--Gilbert Town (North),152752,0.9969,0.9206
0400105,0400106,AZ,Maricopa County--Gilbert Town (North),Maricopa County--Chandler City (Northeast),480,0.0031,0.0039
0400106,0400106,AZ,Maricopa County--Chandler City (Northeast),Maricopa County--Chandler City (Northeast),121782,1,0.9924
0400107,0400106,AZ,Maricopa County--Chandler City (South),Maricopa County--Chandler City (Northeast),448,0.0035,0.0037
0400107,0400107,AZ,Maricopa County--Chandler City (South),Maricopa County--Chandler City (South),128103,0.9965,1
0400108,0400108,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,107949,0.9995,0.9988
0400108,0400109,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,Maricopa County--Tempe City (North),49,0.0005,0.0005
0400109,0400103,AZ,Maricopa County--Tempe City (North),Maricopa County--Mesa City (West),6175,0.0526,0.0511
0400109,0400109,AZ,Maricopa County--Tempe City (North),Maricopa County--Tempe City (North),108461,0.9246,0.999
0400109,0400118,AZ,Maricopa County--Tempe City (North),Phoenix City--Downtown & Sky Harbor International Airport,2670,0.0228,0.023
0400110,0400110,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,127088,0.9908,0.9931
0400110,0400111,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,678,0.0053,0.006
0400110,0400113,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Phoenix City (Northeast),31,0.0002,0.0003
0400110,0400117,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Phoenix City (East),471,0.0037,0.0043
0400111,0400110,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,157,0.0014,0.0012
0400111,0400111,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,111336,0.9982,0.9928
0400111,0400112,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",24,0.0002,0.0002
0400111,0400803,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,Pinal County (North)--Apache Junction City,23,0.0002,0.0002
0400112,0400111,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,95,0.0007,0.0008
0400112,0400112,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",130703,0.9978,0.9998
0400112,0400113,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",Phoenix City (Northeast),193,0.0015,0.0018
0400113,0400110,AZ,Phoenix City (Northeast),Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,331,0.0031,0.0026
0400113,0400113,AZ,Phoenix City (Northeast),Phoenix City (Northeast),104469,0.9932,0.9979
0400113,0400117,AZ,Phoenix City (Northeast),Phoenix City (East),380,0.0036,0.0035
0400114,0400114,AZ,Phoenix City (Northeast Central),Phoenix City (Northeast Central),111355,1,1
0400115,0400115,AZ,Phoenix City (Northwest Central),Phoenix City (Northwest Central),109655,1,1
0400116,0400116,AZ,Phoenix City (Uptown),Phoenix City (Uptown),110648,1,1
0400117,0400110,AZ,Phoenix City (East),Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,401,0.0038,0.0031
0400117,0400117,AZ,Phoenix City (East),Phoenix City (East),104092,0.9959,0.9468
0400117,0400118,AZ,Phoenix City (East),Phoenix City--Downtown & Sky Harbor International Airport,25,0.0002,0.0002
0400118,0400117,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix City (East),5003,0.0422,0.0455
0400118,0400118,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix City--Downtown & Sky Harbor International Airport,113437,0.9568,0.9767
0400118,0400119,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix City (South),13,0.0001,0.0001
0400118,0400121,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix (Southwest) & Tolleson Cities,111,0.0009,0.0007
0400119,0400109,AZ,Phoenix City (South),Maricopa County--Tempe City (North),55,0.0005,0.0005
0400119,0400118,AZ,Phoenix City (South),Phoenix City--Downtown & Sky Harbor International Airport,14,0.0001,0.0001
0400119,0400119,AZ,Phoenix City (South),Phoenix City (South),117218,0.9992,0.9999
0400119,0400120,AZ,Phoenix City (South),Phoenix City--Ahwatukee & South Mountain,17,0.0001,0.0002
0400119,0400121,AZ,Phoenix City (South),Phoenix (Southwest) & Tolleson Cities,11,0.0001,0.0001
0400120,0400108,AZ,Phoenix City--Ahwatukee & South Mountain,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,130,0.0012,0.0012
0400120,0400120,AZ,Phoenix City--Ahwatukee & South Mountain,Phoenix City--Ahwatukee & South Mountain,108553,0.9984,0.9998
0400120,0400121,AZ,Phoenix City--Ahwatukee & South Mountain,Phoenix (Southwest) & Tolleson Cities,41,0.0004,0.0002
0400121,0400121,AZ,Phoenix (Southwest) & Tolleson Cities,Phoenix (Southwest) & Tolleson Cities,151321,0.9999,0.9073
0400121,0400134,AZ,Phoenix (Southwest) & Tolleson Cities,Maricopa County (West) & Gila River Indian Community (Northwest),22,0.0001,0.0001
0400122,0400121,AZ,Phoenix City--Maryvale (East),Phoenix (Southwest) & Tolleson Cities,10001,0.0891,0.06
0400122,0400122,AZ,Phoenix City--Maryvale (East),Phoenix City--Maryvale (East),102202,0.9108,1
0400122,0400124,AZ,Phoenix City--Maryvale (East),Maricopa County--Glendale City (South),10,0.0001,0.0001
0400123,0400121,AZ,Phoenix City--Maryvale (West),Phoenix (Southwest) & Tolleson Cities,5294,0.0437,0.0317
0400123,0400123,AZ,Phoenix City--Maryvale (West),Phoenix City--Maryvale (West),115847,0.9561,1
0400123,0400124,AZ,Phoenix City--Maryvale (West),Maricopa County--Glendale City (South),25,0.0002,0.0002
0400124,0400124,AZ,Maricopa County--Glendale City (South),Maricopa County--Glendale City (South),114407,0.9966,0.9997
0400124,0400125,AZ,Maricopa County--Glendale City (South),Phoenix City (West),392,0.0034,0.0034
0400125,0400125,AZ,Phoenix City (West),Phoenix City (West),113774,1,0.9933
0400126,0400125,AZ,Maricopa County--Glendale City (North),Phoenix City (West),380,0.0029,0.0033
0400126,0400126,AZ,Maricopa County--Glendale City (North),Maricopa County--Glendale City (North),128549,0.9801,0.9893
0400126,0400127,AZ,Maricopa County--Glendale City (North),Maricopa County--Peoria City (South & Central),1568,0.012,0.0129
0400126,0400128,AZ,Maricopa County--Glendale City (North),Phoenix City (North),663,0.0051,0.006
0400127,0400126,AZ,Maricopa County--Peoria City (South & Central),Maricopa County--Glendale City (North),1378,0.0114,0.0106
0400127,0400127,AZ,Maricopa County--Peoria City (South & Central),Maricopa County--Peoria City (South & Central),118145,0.9765,0.9743
0400127,0400130,AZ,Maricopa County--Peoria City (South & Central),Maricopa County--El Mirage & Sun City,1465,0.0121,0.0116
0400128,0400126,AZ,Phoenix City (North),Maricopa County--Glendale City (North),6,0.0001,0
0400128,0400128,AZ,Phoenix City (North),Phoenix City (North),108231,0.9999,0.9816
0400129,0400127,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Maricopa County--Peoria City (South & Central),291,0.002,0.0024
0400129,0400128,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Phoenix City (North),1363,0.0096,0.0124
0400129,0400129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Phoenix (Far North) & Peoria (Northwest) Cities,140573,0.9882,1
0400129,0400130,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Maricopa County--El Mirage & Sun City,25,0.0002,0.0002
0400130,0400127,AZ,Maricopa County--El Mirage City & Sun City,Maricopa County--Peoria City (South & Central),1255,0.01,0.0103
0400130,0400130,AZ,Maricopa County--El Mirage City & Sun City,Maricopa County--El Mirage & Sun City,124301,0.9899,0.9816
0400130,0400134,AZ,Maricopa County--El Mirage City & Sun City,Maricopa County (West) & Gila River Indian Community (Northwest),11,0.0001,0.0001
0400131,0400130,AZ,Maricopa County--Surprise City (Central),Maricopa County--El Mirage & Sun City,346,0.0028,0.0027
0400131,0400131,AZ,Maricopa County--Surprise City (Central),Maricopa County--Surprise City (Central),123399,0.9972,1
0400132,0400124,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",Maricopa County--Glendale City (South),3,0,0
0400132,0400132,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",145701,0.9865,0.9928
0400132,0400133,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,1063,0.0072,0.0087
0400132,0400134,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",Maricopa County (West) & Gila River Indian Community (Northwest),929,0.0063,0.0055
0400133,0400132,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",40,0.0003,0.0003
0400133,0400133,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,121820,0.9997,0.9913
0400134,0400130,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),Maricopa County--El Mirage & Sun City,490,0.0029,0.0039
0400134,0400132,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",1010,0.006,0.0069
0400134,0400134,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),Maricopa County (West) & Gila River Indian Community (Northwest),167724,0.991,0.9943
0400134,0400807,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",14,0.0001,0.0001
0400134,0402503,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),Yavapai Rural,9,0.0001,0.0001
0400201,0401901,AZ,Pima County (West),Pima County (West),104334,0.9979,0.9356
0400201,0401902,AZ,Pima County (West),Tucson City (West) & Marana Town,160,0.0015,0.0012
0400201,0401905,AZ,Pima County (West),Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,59,0.0006,0.0005
0400202,0400805,AZ,Tucson (West) & Marana Cities,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",16,0.0001,0.0001
0400202,0401901,AZ,Tucson (West) & Marana Cities,Pima County (West),7115,0.0548,0.0638
0400202,0401902,AZ,Tucson (West) & Marana Cities,Tucson City (West) & Marana Town,122619,0.9438,0.8942
0400202,0401903,AZ,Tucson (West) & Marana Cities,Pima County (North Central)--Oro Valley Town,167,0.0013,0.0014
0400203,0401902,AZ,Pima County (North Central)--Oro Valley Town,Tucson City (West) & Marana Town,14335,0.1194,0.1045
0400203,0401903,AZ,Pima County (North Central)--Oro Valley Town,Pima County (North Central)--Oro Valley Town,105692,0.8802,0.9009
0400203,0401904,AZ,Pima County (North Central)--Oro Valley Town,Pima County (Northeast),44,0.0004,0.0004
0400204,0401903,AZ,Pima County (Northeast),Pima County (North Central)--Oro Valley Town,2,0,0
0400204,0401904,AZ,Pima County (Northeast),Pima County (Northeast),109219,1,0.9959
0400205,0400900,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Cochise & Santa Cruz Counties--Sierra Vista City,65,0.0004,0.0004
0400205,0401901,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Pima County (West),69,0.0005,0.0006
0400205,0401905,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,110968,0.7354,0.9995
0400205,0401908,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Tucson City (South),12044,0.0798,0.1047
0400205,0401909,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,Tucson City (Southeast),27746,0.1839,0.2256
0400206,0401904,AZ,Tucson City (Northeast),Pima County (Northeast),356,0.0034,0.0032
0400206,0401906,AZ,Tucson City (Northeast),Tucson City (Northeast),89426,0.8622,0.7873
0400206,0401907,AZ,Tucson City (Northeast),Tucson City (Northwest),13942,0.1344,0.1196
0400207,0401904,AZ,Tucson City (Northwest),Pima County (Northeast),45,0.0004,0.0004
0400207,0401907,AZ,Tucson City (Northwest),Tucson City (Northwest),102647,0.9996,0.8804
0400208,0401908,AZ,Tucson City (South),Tucson City (South),102958,1,0.8952
0400209,0401906,AZ,Tucson City (Southeast),Tucson City (Northeast),24165,0.2024,0.2127
0400209,0401908,AZ,Tucson City (Southeast),Tucson City (South),13,0.0001,0.0001
0400209,0401909,AZ,Tucson City (Southeast),Tucson City (Southeast),95243,0.7975,0.7744
0400300,0401000,AZ,Navajo & Apache Counties,Navajo & Apache Counties,172738,1,1
0400400,0400500,AZ,Coconino County--Flagstaff City,Coconino County,144459,0.9995,0.9956
0400400,0402503,AZ,Coconino County--Flagstaff City,Yavapai Rural,65,0.0004,0.0006
0400500,0400500,AZ,Yavapai County,Coconino County,642,0.0027,0.0044
0400500,0402502,AZ,Yavapai County,Yavapai Urban,135495,0.5722,1
0400500,0402503,AZ,Yavapai County,Yavapai Rural,100640,0.425,0.9993
0400600,0400601,AZ,Mohave & La Paz Counties--Lake Havasu City,Mohave County North--City of Kingman & Bullhead City,111199,0.4838,1
0400600,0400602,AZ,Mohave & La Paz Counties--Lake Havasu City,Mohave County South--Lake Havasu City,102068,0.4441,1
0400600,0400701,AZ,Mohave & La Paz Counties--Lake Havasu City,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",16557,0.072,0.1548
0400700,0400701,AZ,Yuma County--Yuma City,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",90397,0.4434,0.8452
0400700,0401101,AZ,Yuma County--Yuma City,Yuma County--Yuma City,113484,0.5566,1
0400800,0400400,AZ,"Gila, Graham, Greenlee & Pinal (East) Counties","Gila, Graham, Greenlee Counties",101381,0.918,1
0400800,0400805,AZ,"Gila, Graham, Greenlee & Pinal (East) Counties","Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",9048,0.0819,0.0742
0400800,0400900,AZ,"Gila, Graham, Greenlee & Pinal (East) Counties",Cochise & Santa Cruz Counties--Sierra Vista City,9,0.0001,0.0001
0400803,0400111,AZ,Pinal County (North)--Apache Junction City,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,10,0.0001,0.0001
