Table ID,Table Title,Table Universe,Data Product Type,Year,'1-year Published Summary Levels'!A1,'5-year Published Summary Levels'!A1
B01001,SEX BY AGE,Total population,Detailed Table,"1,5",,
B01001A,SEX BY AGE (WHITE ALONE),People who are White alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001B,SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001C,SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),People who are American Indian and Alaska Native alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001D,SEX BY AGE (ASIAN ALONE),People who are Asian alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001E,SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001F,SEX BY AGE (SOME OTHER RACE ALONE),People who are Some Other Race alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001G,SEX BY AGE (TWO OR MORE RACES),People who are Two or More Races,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001H,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01001I,SEX BY AGE (HISPANIC OR LATINO),People who are Hispanic or Latino,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B01002,MEDIAN AGE BY SEX,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002A,MEDIAN AGE BY SEX (WHITE ALONE),People who are White alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002B,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002C,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE) ,People who are American Indian and Alaska Native alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002D,MEDIAN AGE BY SEX (ASIAN ALONE),People who are Asian alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002E,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002F,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),People who are Some Other Race alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002G,MEDIAN AGE BY SEX (TWO OR MORE RACES),People who are Two or More Races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002H,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01002I,MEDIAN AGE BY SEX (HISPANIC OR LATINO),People who are Hispanic or Latino,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B01003,TOTAL POPULATION,Total population,Detailed Table,"1,5",,
B02001,RACE,Total population,Detailed Table,"1,5",,
B02003,DETAILED RACE,Total population,Detailed Table,1,United States (010),
B02008,WHITE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES ,White alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02009,BLACK OR AFRICAN AMERICAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Black or African American alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02010,AMERICAN INDIAN AND ALASKA NATIVE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,People who are American Indian or Alaska Native alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02011,ASIAN ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Asian alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02012,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02013,SOME OTHER RACE ALONE OR IN COMBINATION WITH ONE OR MORE OTHER RACES,Some other race alone or in combination with one or more other races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B02014,AMERICAN INDIAN AND ALASKA NATIVE ALONE FOR SELECTED TRIBAL GROUPINGS,People who are American Indian and Alaska Native alone and people with no tribe reported,Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02015,ASIAN ALONE BY SELECTED GROUPS,Total Asian alone population,Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02016,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE BY SELECTED GROUPS,Total Native Hawaiian and Other Pacific Islander alone population,Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02017,AMERICAN INDIAN AND ALASKA NATIVE (AIAN) ALONE OR IN ANY COMBINATION BY SELECTED TRIBAL GROUPINGS,Total AIAN alone or in any combination population (the total groups tallied),Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02018,ASIAN ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Total Asian alone or in any combination population (the total groups tallied),Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B02019,NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE OR IN ANY COMBINATION BY SELECTED GROUPS,Total NHPI alone or in any combination population (the total groups tallied),Detailed Table,"1,5","United States (010), State (040)","Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B03001,HISPANIC OR LATINO ORIGIN BY SPECIFIC ORIGIN,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B03002,HISPANIC OR LATINO ORIGIN BY RACE,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B03003,HISPANIC OR LATINO ORIGIN,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B04004,PEOPLE REPORTING SINGLE ANCESTRY,People reporting single ancestry,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B04005,PEOPLE REPORTING MULTIPLE ANCESTRY,People reporting multiple ancestries,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B04006,PEOPLE REPORTING ANCESTRY,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B04007,ANCESTRY,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05001,NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B05001PR,NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05002,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003A,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE),People who are White alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003B,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE),People who are Black or African American alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003C,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),People who are American Indian and Alaska Native alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003D,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (ASIAN ALONE),People who are Asian alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),People who are Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003F,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (SOME OTHER RACE ALONE),People who are Some Other Race alone,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003G,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (TWO OR MORE RACES),People who are Two or More Races,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05003H,"SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","White alone, not Hispanic or Latino population",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
